judul,rating,genre,poster_url,musim_tayang,jenis_tayangan,sinopsis,studio,fitur
Kidou Keisatsu Patlabor: On Television,7.69,"Comedy, Sci-Fi, Adult Cast, Mecha, Workplace",https://cdn.myanimelist.net/images/anime/1739/144310.jpg,Winter 1990,TV,"In the future, advanced robotics has created heavy robots (""labors"") for use in a variety of functions: construction, fire-fighting, military, and more. However, though the robots are only machines, their operators are also only human—and humans sometimes turn to crime. Since a heavy labor unit can be a dangerous weapon, the police of the future are set to fight fire with fire, using advanced patrol labor units, ""patlabors."" This is the story of the Second Special Vehicles Division, a motley crew of patlabor policemen and women doing their best to fight crime and live a normal life.

(Source: ANN)",Sunrise,futur advanc robot creat heavi robot labor use varieti function construct fire fight militari howev though robot machin oper also human human sometim turn crime sinc heavi labor unit danger weapon polic futur set fight fire fire use advanc patrol labor unit patlabor stori second special vehicl divis motley crew patlabor policemen women best fight crime live normal life sourc ann comedi sci fi adult cast mecha workplac sunris tv
Yawara!,7.49,"Comedy, Romance, Sports",https://cdn.myanimelist.net/images/anime/4/44864.jpg,Winter 1990,TV,"High school student Yawara Inokuma lives a completely happy and ordinary life. She aspires to an average lifestyle as a delicate young lady with a handsome boyfriend in the near future.

Unfortunately for Yawara, she has an undesirable prodigious talent in Judo, a modern martial art that is neither feminine nor fashionable. Moreover, Yawara is the only granddaughter of the seventh dan Judo master Jigorou Inokuma, who expects her to become a Japanese Judoka superstar of the '90s.

Yawara cautiously hides her strength from everyone to maintain a normal reputation but is often pushed to situations when she must exercise her Judo skills. Observing Yawara's immense potential from the shadows, Kousaku Matsuda, a sports reporter from a substandard paper, is willing to do everything he can to bring her into the limelight.

[Written by MAL Rewrite]",Madhouse,high school student yawara inokuma live complet happi ordinari life aspir averag lifestyl delic young ladi handsom boyfriend near futur unfortun yawara undesir prodigi talent judo modern martial art neither feminin fashion moreov yawara granddaught seventh dan judo master jigor inokuma expect becom japanes judoka superstar 90 yawara cautious hide strength everyon maintain normal reput often push situat must exercis judo skill observ yawara immens potenti shadow kousaku matsuda sport report substandard paper will everyth bring limelight written mal rewrit comedi romanc sport madhous tv
Sazae-san,6.16,"Comedy, Slice of Life",https://cdn.myanimelist.net/images/anime/1008/98996.jpg,Winter 1990,TV,"The main character is a mother named Sazae-san. She lives in a house with her husband, her kids and her parents. The show is the ultimate family program and tends to follow traditional themes. Think of this show as the Japanese equivalent to ""The Partridge Family"" and you'll get a good feel for this show's atmosphere. Don't expect to see things like violence, swearing, kung-fu action or magical girls. The plots are more like ""Today, Sazae-san goes to the new mall and gets lost"". Such ""boring"" plotlines and the simplistic art are often a turn-off to non-Japanese audiences, but most Japanese find the show incredibly good. As a result, it continues to be one of the top ratings grabbers on TV and is one of the few anime that is considered ""acceptable"" by adults. 

(Source: AniDB)",Eiken,main charact mother name saza san live hous husband kid parent show ultim famili program tend follow tradit theme think show japanes equival partridg famili get good feel show atmospher expect see thing like violenc swear kung fu action magic girl plot like today saza san goe new mall get lost bore plotlin simplist art often turn non japanes audienc japanes find show incred good result continu one top rate grabber tv one anim consid accept adult sourc anidb comedi slice life eiken tv
Jungle Book Shounen Mowgli,6.99,"Adventure, Drama",https://cdn.myanimelist.net/images/anime/5/12752.jpg,Winter 1990,TV,"After his parents died, Mowgli is raised by the Wolf Pack of the Seeonee Forest led by Akela and other wild animals such as Bagheera and Baloo. The young boy goes through several heartwarming, bittersweet, and life-threatening adventures as he seeks after his true purpose in life. And one of many dangers he has to face is the man-eating tiger, Shere Khan...

(Source: ANN)",Nippon Animation,parent die mowgli rais wolf pack seeone forest led akela wild anim bagheera baloo young boy goe sever heartwarm bittersweet life threaten adventur seek true purpos life one mani danger face man eat tiger shere khan sourc ann adventur drama nippon anim tv
Warau Salesman,6.88,"Comedy, Drama, Supernatural, Adult Cast, Psychological",https://cdn.myanimelist.net/images/anime/5/61389.jpg,Winter 1990,TV,"Each episode follows Fukuzou Moguro, a traveling salesman, and his current customer. Moguro deals in things that give his customers their heart's desire, and once his deals are made and their unhealthy desires are satisfied, Moguro's customers are often left with terrible repercussions, especially if they break the rules of his deals...",Shin-Ei Animation,episod follow fukuz moguro travel salesman current custom moguro deal thing give custom heart desir deal made unhealthi desir satisfi moguro custom often left terribl repercuss especi break rule deal comedi drama supernatur adult cast psycholog shin ei anim tv
Idol Densetsu Eriko,6.89,"Idols (Female), Music",https://cdn.myanimelist.net/images/anime/11/20173.jpg,Winter 1990,TV,"Eriko Tamura is Kousuke Tamura, the chairman of Tamura Productions (reknown music company) and Minako Tamura's (former famous idol singer) only daughter. Having talent for singing since birth, she has always loved her parent's media world. Then one day tragedy strikes when her parents get into a horrible car accident, which kills her father and leaves her mother in coma. She is left in her father's best friend, Mr. Uchida's care. Now Eriko must take the path of singing, a path her parents did not want her to pursue. Then her uncle is out to destroy her career. But in spite of all the hardship, she becomes an idol and wins hearts all over Japan.

(Source: ANN)",Ashi Productions,eriko tamura kousuk tamura chairman tamura product reknown music compani minako tamura former famou idol singer daughter talent sing sinc birth alway love parent media world one day tragedi strike parent get horribl car accid kill father leav mother coma left father best friend mr uchida care eriko must take path sing path parent want pursu uncl destroy career spite hardship becom idol win heart japan sourc ann idol femal music ashi product tv
Kiteretsu Daihyakka,6.89,"Comedy, Drama",https://cdn.myanimelist.net/images/anime/1872/133507.jpg,Winter 1990,TV,"The main character is a scientific genius boy named Kiteretsu, who has built a companion robot named Korosuke. He frequently travels in time with his friends and Korosuke in the time machine he built. Miyoko is a girl in his neighborhood who is basically his girlfriend. Tongari is his rival, who happen to share some similar traits of Honekawa Suneo. Buta Gorilla (Kumada Kaoru) is a typical neighborhood bully, who also share similar traits of Gian (Takeshi Goda) except that he often antagonizes Korosuke (though they are in grade school).

(Source: Wikipedia)",Gallop,main charact scientif geniu boy name kiteretsu built companion robot name korosuk frequent travel time friend korosuk time machin built miyoko girl neighborhood basic girlfriend tongari rival happen share similar trait honekawa suneo buta gorilla kumada kaoru typic neighborhood bulli also share similar trait gian takeshi goda except often antagon korosuk though grade school sourc wikipedia comedi drama gallop tv
Chiisana Ahiru no Ooki na Ai no Monogatari: Ahiru no Kwak,7.36,"Adventure, Comedy, Drama, Fantasy",https://cdn.myanimelist.net/images/anime/1016/125157.jpg,Winter 1990,TV,"The series covers the life of a Dutch duck named Alfred J Kwak from the day he is born. He lost his parents, brothers, and sisters when he was young and was raised by a mole. In his life, Alfred tries to help all sorts of animals all over the world. The series is meant to entertain children and teach children about life, covering historical aspects like WWII.

(Source: AniDB, edited)",Telescreen,seri cover life dutch duck name alfr j kwak day born lost parent brother sister young rais mole life alfr tri help sort anim world seri meant entertain children teach children life cover histor aspect like wwii sourc anidb edit adventur comedi drama fantasi telescreen tv
Jungle Taitei (1989),6.71,"Adventure, Drama",https://cdn.myanimelist.net/images/anime/6/75997.jpg,Winter 1990,TV,"Leo (a.k.a. Kimba in the U.S.) is a young ambitious lion cub who takes his father's place as emperor of the jungle when is father is killed by poachers. Even though his father's fate was met by the hands of humans, Leo is one of the few animals in the Jungle that doesn't fear or feel hatred toward humans. He is not alone either, he is guided by friends of his father to help create the best animal kingdom there can be. 

(Source: ANN)",Tezuka Productions,leo k kimba u young ambiti lion cub take father place emperor jungl father kill poacher even though father fate met hand human leo one anim jungl fear feel hatr toward human alon either guid friend father help creat best anim kingdom sourc ann adventur drama tezuka product tv
Oishinbo,7.02,"Comedy, Gourmet, Slice of Life",https://cdn.myanimelist.net/images/anime/1681/109663.jpg,Winter 1990,TV,"Oishinbo is a drama about newspaper reporters. The main character is a cynical food critic named Yamaoka. Oishinbo is a popular mainstream comic for adults in Japan. It is even mentioned in an episode of ""Iron Chef.""

(Source: AniDB)",Shin-Ei Animation,oishinbo drama newspap report main charact cynic food critic name yamaoka oishinbo popular mainstream comic adult japan even mention episod iron chef sourc anidb comedi gourmet slice life shin ei anim tv
