judul,rating,genre,poster_url,musim_tayang,jenis_tayangan,sinopsis,studio,sinopsis_final
Sore Ike! Anpanman,6.61,"Comedy, Fantasy",https://cdn.myanimelist.net/images/anime/1902/111797.jpg,Winter 1990,TV,"One night, a Star of Life falls down the chimney of a bakery nestled deep in the forest, causing the dough in the oven to come to life. The dough becomes Anpanman, a superhero made of anpan (a sweet roll with bean jam filling). Together with his friends, Anpanman fights his rival Baikinman and helps the malnourished. 

(Source: ANN)",TMS Entertainment,one night a star of life falls down the chimney of a bakery nestled deep in the forest causing the dough in the oven to come to life the dough becomes anpanman a superhero made of anpan a sweet roll with bean jam filling together with his friends anpanman fights his rival baikinman and helps the malnourished source ann
Madou King Granzort,7.19,"Comedy, Fantasy, Sci-Fi",https://cdn.myanimelist.net/images/anime/7/11702.jpg,Winter 1990,TV,"In the future, the moon is a habitable place with an atmosphere and gravity, hosting a famous tourist attraction. There are also rumors about log earred, rabbit like creatures on the moon who can use magic. Haruka Daichi heads off to the moon during a summer holiday alone because he wants to see the long earred creatures himself.

However, he get himself dragged into an millenia-old conflict between two ancient moon races: the ""long ears"" race and the Jado race. The Jado race wants to conquer the universe and resurrect certain evil powers to seize control of the Earth. Now the ""long ears"" race and Daichi must seek three warriors who can use magic in order to release the Mado King and the ""long ears"" race's kingdom, Rabiluna, from the Jado's control.

(Source: AniDB, edited)",Sunrise,in the future the moon is a habitable place with an atmosphere and gravity hosting a famous tourist attraction there are also rumors about log earred rabbit like creatures on the moon who can use magic haruka daichi heads off to the moon during a summer holiday alone because he wants to see the long earred creatures himself however he get himself dragged into an milleniaold conflict between two ancient moon races the long ears race and the jado race the jado race wants to conquer the universe and resurrect certain evil powers to seize control of the earth now the long ears race and daichi must seek three warriors who can use magic in order to release the mado king and the long ears races kingdom rabiluna from the jados control source anidb edited
3 Choume no Tama: Uchi no Tama Shirimasen ka?,6.59,Adventure,https://cdn.myanimelist.net/images/anime/9/74055.jpg,Winter 1990,TV,"The characters are Tama, Momo, Wocket, Tiggle, Rockney, Pimmy, Bupkus, Bengpu, and Chopin. There is no consistent plot. Tama and his friends just have little, family friendly, adventures every episode. The only consistency is when a new friend is made one episode and flash backs.

(Source: ANN)",Group TAC,the characters are tama momo wocket tiggle rockney pimmy bupkus bengpu and chopin there is no consistent plot tama and his friends just have little family friendly adventures every episode the only consistency is when a new friend is made one episode and flash backs source ann
Akuma-kun,6.43,"Adventure, Fantasy, Horror, Supernatural",https://cdn.myanimelist.net/images/anime/1523/148322.jpg,Winter 1990,TV,"The age of the demons has begun. Dr Faust has foreseen this rise of evil. Unfortunately, he is near death and is unable to personally battle this upcoming threat. Faust entrusts a young boy, Shingo Yamada, to take the responsibility of ridding the Earth of this new evil presence. Faust finds a birthmark on Shingo's forehead that signifies that he is the chosen demon fighter. Faust summons from hell what may be humanity's only hope of surviving: a less than enthusiastic devil named Mephisto rises. After signing a pact in blood to save humankind, Shingo and Mephisto set out to battle the supernatural world.

(Source: AniDB)",Toei Animation,the age of the demons has begun dr faust has foreseen this rise of evil unfortunately he is near death and is unable to personally battle this upcoming threat faust entrusts a young boy shingo yamada to take the responsibility of ridding the earth of this new evil presence faust finds a birthmark on shingos forehead that signifies that he is the chosen demon fighter faust summons from hell what may be humanitys only hope of surviving a less than enthusiastic devil named mephisto rises after signing a pact in blood to save humankind shingo and mephisto set out to battle the supernatural world source anidb
Time Travel Tondekeman!,7.35,"Action, Adventure, Comedy",https://cdn.myanimelist.net/images/anime/6/45656.jpg,Winter 1990,TV,"The series starts when Hayato, a soccer enthusiast, and his girlfriend Yumi, an aspiring musician, went to a visit to Dr. Leonard's lab. They accidentally activated the Tondekeman, a funny talking kettle who transported them many centuries in the past. 

In Baghdad, Hayato and Yumi gets reunited but they got separated from Tondekeman. They meet Aladdin, Prince Dandarn and Princess Shalala. They also meet the cunning Abdullah who is always ready to kidnap the princess so that he could marry the princess to his master. 

Our heroes get to go to different places and times and meet several historical and literary figures as they follow Abdullah as he escapes through time to abduct the princess. 

Hayato and Yumi are stuck in the past until they get Tondekeman from the possession of Abdullah. 

(Source: Wikipedia)",Ashi Productions,the series starts when hayato a soccer enthusiast and his girlfriend yumi an aspiring musician went to a visit to dr leonards lab they accidentally activated the tondekeman a funny talking kettle who transported them many centuries in the past in baghdad hayato and yumi gets reunited but they got separated from tondekeman they meet aladdin prince dandarn and princess shalala they also meet the cunning abdullah who is always ready to kidnap the princess so that he could marry the princess to his master our heroes get to go to different places and times and meet several historical and literary figures as they follow abdullah as he escapes through time to abduct the princess hayato and yumi are stuck in the past until they get tondekeman from the possession of abdullah source wikipedia
Dash! Yonkurou,6.76,Sports,https://cdn.myanimelist.net/images/anime/11/50417.jpg,Winter 1990,TV,"The story is a succession of races in imaginative paths and runs to suit her run. The story will focus increasingly what is the real Emperor, will be discovered having this many mini title that will compare against the Emperor of Yonkuro, the epilogue to the epic challenge of the Rally of hell in this race will challenge a group of thugs who want to take advantage of Best of Mini 4WD racers to be able to recover a hidden treasure.The story centers on a brother and sister, Tatsuya and Kiyoko, the children of a scientist at the Twin X facility. This story is used by the very popular main character Yonkuro Hinomaru.

(Source: ANN)",Aubec,the story is a succession of races in imaginative paths and runs to suit her run the story will focus increasingly what is the real emperor will be discovered having this many mini title that will compare against the emperor of yonkuro the epilogue to the epic challenge of the rally of hell in this race will challenge a group of thugs who want to take advantage of best of mini wd racers to be able to recover a hidden treasurethe story centers on a brother and sister tatsuya and kiyoko the children of a scientist at the twin x facility this story is used by the very popular main character yonkuro hinomaru source ann
Aoi Blink,6.81,"Adventure, Fantasy",https://cdn.myanimelist.net/images/anime/1272/147717.jpg,Winter 1990,TV,Story of a young boy named Kakeru and his adventures together with a magical blue pony named Blink.,Tezuka Productions,story of a young boy named kakeru and his adventures together with a magical blue pony named blink
Chinpui,6.39,Comedy,https://cdn.myanimelist.net/images/anime/11/74871.jpg,Winter 1990,TV,TV anime show based on the manga by F. Fujio Fujiko.,Shin-Ei Animation,tv anime show based on the manga by f fujio fujiko
Konchuu Monogatari Minashigo Hutch (1989),6.7,"Adventure, Comedy, Drama",https://cdn.myanimelist.net/images/anime/1216/134554.jpg,Winter 1990,TV,A remake of the 1970's version.,Tatsunoko Production,a remake of the s version
Manga Nippon Mukashibanashi (1976),6.15,Fantasy,https://cdn.myanimelist.net/images/anime/6/60851.jpg,Winter 1990,TV,"An omnibus-format TV series consisting of anime adaptations of Japanese folk tales, this is one of Japan's longest-running TV series, and Group Tac's second TV series (the first was The Road to Munich, a documentary anime about the 1972 Olympics). The governing rule of the series was that the creative staff change from episode to episode. While later other anime series like Nippon Animation's Famous Works of Japanese Literature would attempt the same, none would be as long-lived or successful. 

The rotation idea was that of director Sugii Gisaburo, a visual visionary unequaled in Japanese film history who has revolutionized anime several times in his career, be it in the 1967 TV series Goku's Big Adventure, in which he sought to shake anime free from the dominance of story development by yanking it back to a more cartoonish form, or The Belladonna of Sadness, where he broke the Disney full-animation mold, creating a full-length animated film in a completely new style that was a hybrid of still drawings and animation. The reason for rotating the staff each episode was so that each episode would have a completely different look and feel from its predecessor, and in this it was eminently successful. This is a series that is genuinely rewarding to watch, and is visually one of the richest in anime history. 

While this system also meant that quality varied, there were also occasionally superb episodes, as on the staff were many veterans like Group Tac founder SUGII Gisaburo himself, SHIBAYAMA Tsutomu, FURUZAWA Hideo, RIN Taro, and HIKONE Norio. Old episodes started being repeated more and more frequently as the years went on, and production of new episodes finally ceased completely in late 1995, but the series is still widely broadcast. 

(Source: Pelleas)",Group TAC,an omnibusformat tv series consisting of anime adaptations of japanese folk tales this is one of japans longestrunning tv series and group tacs second tv series the first was the road to munich a documentary anime about the olympics the governing rule of the series was that the creative staff change from episode to episode while later other anime series like nippon animations famous works of japanese literature would attempt the same none would be as longlived or successful the rotation idea was that of director sugi gisaburo a visual visionary unequaled in japanese film history who has revolutionized anime several times in his career be it in the tv series gokus big adventure in which he sought to shake anime free from the dominance of story development by yanking it back to a more cartoonish form or the belladonna of sadness where he broke the disney fullanimation mold creating a fulllength animated film in a completely new style that was a hybrid of still drawings and animation the reason for rotating the staff each episode was so that each episode would have a completely different look and feel from its predecessor and in this it was eminently successful this is a series that is genuinely rewarding to watch and is visually one of the richest in anime history while this system also meant that quality varied there were also occasionally superb episodes as on the staff were many veterans like group tac founder sugi gisaburo himself shibayama tsutomu furuzawa hideo rin taro and hikone norio old episodes started being repeated more and more frequently as the years went on and production of new episodes finally ceased completely in late but the series is still widely broadcast source pelleas
